ID Estacion,Autoridad Ambiental,Estación,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),Año,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Máximo,Fechas/horas del máximo,Mínimo,Fechas/horas del mínimo,Días de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estación
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,DViento,deg,24,2020,53.1,20113.16,310,85.0,0,0.0,55.0,320.8,356.4,2020-10-28 12:00:00.000000000,1.2,2020-10-13 12:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,HAire10,perc,1,2020,73.2,554772.2197,7576,86.0,0,0.0,77.3,94.5,99.9,2020-06-17 12:00:00.000000000,17.0,2020-01-10 04:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,HAire10,perc,24,2020,73.1,22592.21,309,84.0,0,0.0,74.6,85.6,89.9,2020-05-30 12:00:00.000000000,47.6,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,PLiquida,mm,1,2020,0.1,661.33,8458,96.0,0,0.0,0.0,1.1,11.7,2020-06-17 12:00:00.000000000,0.0,2020-01-05 07:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,PLiquida,mm,24,2020,1.9,661.32,352,96.0,0,0.0,0.3,11.4,18.5,2020-06-16 12:00:00.000000000,0.0,2020-01-03 12:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,P,mmHg,1,2020,645.1,5025803.247,7791,89.0,0,0.0,645.3,647.5,649.9,2020-01-04 08:00:00.000000000,640.3,2020-10-12 04:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,P,mmHg,24,2020,645.1,205135.81,318,87.0,0,0.0,645.1,646.5,648.1,2020-01-04 12:00:00.000000000,642.6,2020-02-17 12:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,TAire10,Celsius,1,2020,22.9,178238.5514,7770,88.0,0,0.0,22.1,30.3,32.6,2020-05-09 03:00:00.000000000,16.4,2020-01-07 07:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,TAire10,Celsius,24,2020,22.9,7249.75,316,86.0,0,0.0,22.9,25.3,26.1,2020-02-18 12:00:00.000000000,20.0,2020-06-10 12:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,VViento,ms,1,2020,1.8,13461.51,7651,87.0,0,0.0,1.3,5.5,8.3,2020-12-03 03:00:00.000000000,0.0,2020-06-17 04:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378361,-75.443886,VViento,ms,24,2020,1.8,543.92,310,85.0,0,0.0,1.8,2.4,2.8,2020-04-04 12:00:00.000000000,0.9,2020-01-22 12:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
